group	cycle	wmo	park_depth	mean_date	uvp_points	ost_points	group_total_biovolume	slope	weighted_group_biovolume
group_137	24	4903634	500 m	2022-11-16T11:55:32Z	5	20	0.5303538067492738	0.0037690586527328626	0.10607076134985476
group_72	24	4903634	500 m	2022-11-14T15:55:34Z	17	70	3.1281827379861347	0.004597473876163677	0.18401074929330205
group_80	24	4903634	500 m	2022-11-15T11:55:33Z	1	5	0.08314335150593696	0.003951593021630839	0.08314335150593696
group_84	24	4903634	500 m	2022-11-15T13:55:33Z	1	3	0.09883293794002077	0.001977505871837648	0.09883293794002077
group_90	24	4903634	500 m	2022-11-15T15:55:33Z	1	5	0.21049239896925448	0.0019801980242967754	0.21049239896925448
last_group	24	4903634	500 m	2022-11-16T19:55:32Z	1	8	0.06155585685367738	0.0022777658605834805	0.06155585685367738
group_104	25	4903634	500 m	2022-11-25T21:35:48Z	3	12	0.25532796554114645	7.102053495115946e-4	0.08510932184704882
group_13	25	4903634	500 m	2022-11-24T00:35:51Z	2	11	0.13502205456399963	0.0011623683311435707	0.06751102728199981
group_141	25	4903634	500 m	2022-11-26T10:35:48Z	8	35	0.670529373727693	0.00287727794105341	0.08381617171596162
group_40	25	4903634	500 m	2022-11-24T11:35:51Z	5	20	0.6626273215842615	0.002657235995874407	0.1325254643168523
group_59	25	4903634	500 m	2022-11-24T21:35:50Z	5	18	0.7042562609911619	0.003432809072424513	0.14085125219823239
group_91	25	4903634	500 m	2022-11-25T10:35:49Z	8	31	0.8034327638311699	0.003509485951506164	0.10042909547889624
group_104	27	4903634	500 m	2022-12-15T23:51:10Z	1	4	0.2858482206353961	0.0012891270199949512	0.2858482206353961
group_114	27	4903634	500 m	2022-12-16T03:51:10Z	1	7	0.14544360502906187	0.004517768665100008	0.14544360502906187
group_134	27	4903634	500 m	2022-12-16T12:51:10Z	2	10	0.3488928705505722	0.002154621018006305	0.1744464352752861
group_139	27	4903634	500 m	2022-12-16T17:51:10Z	1	4	0.03813600031297797	0.0025869038051501425	0.03813600031297797
group_24	27	4903634	500 m	2022-12-14T03:51:12Z	5	22	0.5154086187331133	0.0018275480990504864	0.10308172374662265
group_30	27	4903634	500 m	2022-12-14T09:51:12Z	1	5	0.121164829047628	0.004800192071688442	0.121164829047628
group_38	27	4903634	500 m	2022-12-14T13:51:12Z	1	7	0.0674537659255248	0.001921460319071866	0.0674537659255248
group_70	27	4903634	500 m	2022-12-14T23:51:11Z	7	30	0.7240113959272737	0.002258213911982131	0.10343019941818196
group_83	27	4903634	500 m	2022-12-15T12:51:11Z	2	8	0.09574082909204996	0.0044125759934150145	0.04787041454602498
group_99	27	4903634	500 m	2022-12-15T18:51:11Z	4	14	0.21438616383215864	0.0017839434230458374	0.05359654095803966
last_group	27	4903634	500 m	2022-12-16T19:51:10Z	1	5	0.527548010891742	4.8541725684858594e-4	0.527548010891742
