group	min_time	max_time	nb_points	first_cp	last_cp	delta_x	delta_y	slope	min_drifting_time	max_drifting_time	small_flux	big_flux	park_depth	wmo	cycle
group_176	2023-01-18T13:24:42Z	2023-01-19T03:54:42Z	30	0.16748312998654388	0.17454913471465197	0.6041666666666666	0.0017665011820270221	0.002923864025424037	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
group_198	2023-01-19T04:54:42Z	2023-01-19T14:54:41Z	21	0.17583520497731817	0.17873037579814954	0.4166550925925926	7.237927052078444e-4	0.0017371507466862346	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
group_229	2023-01-19T16:24:41Z	2023-01-20T06:24:41Z	29	0.1825938661178245	0.18613868004569076	0.5833333333333334	8.86203481966566e-4	0.0015192059690855414	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
last_group	2023-01-20T07:24:41Z	2023-01-20T18:24:39Z	23	0.18710599293581828	0.19049343464332283	0.4583101851851852	8.468604268761365e-4	0.0018477887994873023	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
group_98	2023-01-25T14:06:46Z	2023-01-27T13:36:45Z	96	0.1415744391904226	0.15370823950624923	1.9791550925925927	0.0030334500789566607	0.0015326995293648237	2023-01-25T13:36:46Z	2023-01-30T18:36:40Z	4.051398788506959	0.7890572292230376	1000 m	4903634	31
group_237	2023-01-27T14:36:44Z	2023-01-30T11:06:42Z	138	0.1562674206556067	0.1726208042900332	2.8541435185185184	0.004088345908606628	0.0014324247824540857	2023-01-25T13:36:46Z	2023-01-30T18:36:40Z	4.051398788506959	0.7890572292230376	1000 m	4903634	31
last_group	2023-01-30T12:06:42Z	2023-01-30T18:36:40Z	14	0.1735848533005239	0.17406696817873674	0.2708101851851852	1.2052871955321037e-4	4.450671582783732e-4	2023-01-25T13:36:46Z	2023-01-30T18:36:40Z	4.051398788506959	0.7890572292230376	1000 m	4903634	31
group_39	2023-02-04T13:25:15Z	2023-02-05T07:25:15Z	37	0.14061807337594426	0.14731744089483953	0.75	0.001674841879723818	0.002233122506298424	2023-02-04T12:55:15Z	2023-02-09T18:25:08Z	4.6034149472049375	4.113287504714471	1000 m	4903634	32
group_73	2023-02-05T08:25:15Z	2023-02-06T00:25:13Z	33	0.146678922256721	0.15083111650508285	0.6666435185185186	0.0010380485620904642	0.0015571269100422948	2023-02-04T12:55:15Z	2023-02-09T18:25:08Z	4.6034149472049375	4.113287504714471	1000 m	4903634	32
group_97	2023-02-06T01:25:13Z	2023-02-06T12:25:13Z	23	0.15242926267680768	0.15594743345492432	0.4583333333333333	8.795426945291604e-4	0.0019190022426090773	2023-02-04T12:55:15Z	2023-02-09T18:25:08Z	4.6034149472049375	4.113287504714471	1000 m	4903634	32
group_146	2023-02-06T15:25:12Z	2023-02-07T12:55:12Z	44	0.18001779132262	0.1864610916849252	0.8958333333333334	0.0016108250905762997	0.001798130333666567	2023-02-04T12:55:15Z	2023-02-09T18:25:08Z	4.6034149472049375	4.113287504714471	1000 m	4903634	32
group_166	2023-02-07T14:25:11Z	2023-02-07T22:55:11Z	18	0.18968663818662135	0.19130038735120528	0.3541666666666667	4.0343729114598187e-4	0.0011391170573533606	2023-02-04T12:55:15Z	2023-02-09T18:25:08Z	4.6034149472049375	4.113287504714471	1000 m	4903634	32
group_196	2023-02-07T23:55:11Z	2023-02-08T13:55:10Z	29	0.1925918556003771	0.19614554480556856	0.5833217592592592	8.884223012978684e-4	0.0015230398784129811	2023-02-04T12:55:15Z	2023-02-09T18:25:08Z	4.6034149472049375	4.113287504714471	1000 m	4903634	32
last_group	2023-02-08T14:55:10Z	2023-02-09T18:25:08Z	56	0.19808525227104223	0.20455774559268353	1.1458101851851852	0.0016181233304103232	0.0014122088905579094	2023-02-04T12:55:15Z	2023-02-09T18:25:08Z	4.6034149472049375	4.113287504714471	1000 m	4903634	32
group_55	2023-02-11T01:29:21Z	2023-02-12T03:29:20Z	53	0.15562747185014603	0.1629930717857595	1.0833217592592592	0.001841399983903369	0.001699771991252589	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_86	2023-02-12T04:29:20Z	2023-02-12T18:59:20Z	30	0.1649167653143402	0.16973005056081364	0.6041666666666666	0.0012033213116183564	0.0019917042399200382	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_96	2023-02-12T22:29:20Z	2023-02-12T23:59:20Z	4	0.17165698757118167	0.17197823400752643	0.0625	8.031160908619078e-5	0.0012849857453790525	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_170	2023-02-13T00:59:20Z	2023-02-14T12:59:17Z	73	0.17326347781326656	0.18227176602504644	1.4999652777777779	0.0022520720529449686	0.001501416123632841	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_182	2023-02-14T13:59:17Z	2023-02-14T18:59:17Z	11	0.18581629439167763	0.1880735398060873	0.20833333333333334	5.643113536024161e-4	0.002708694497291597	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_216	2023-02-14T19:59:17Z	2023-02-15T11:59:16Z	33	0.1903320597289656	0.19582235165708725	0.6666550925925926	0.0013725729820304108	0.002058895217754258	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_236	2023-02-15T12:59:16Z	2023-02-15T21:59:16Z	19	0.19679200945344028	0.1990554588489485	0.375	5.658623488770595e-4	0.0015089662636721586	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_264	2023-02-16T01:29:15Z	2023-02-16T11:59:15Z	22	0.19937891334312083	0.20358620366992197	0.4375	0.001051822581700286	0.0024041659010292254	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_282	2023-02-16T12:59:15Z	2023-02-16T20:59:15Z	17	0.20488164534588715	0.20617750670005716	0.3333333333333333	3.2396533854250203e-4	9.718960156275061e-4	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_301	2023-02-16T21:59:15Z	2023-02-17T06:29:14Z	18	0.20714967829312816	0.2094189979633486	0.3541550925925926	5.673299175551066e-4	0.0016019250588830097	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_314	2023-02-17T07:29:14Z	2023-02-17T12:59:14Z	12	0.21039195779301265	0.21104072918361705	0.22916666666666666	1.621928476511006e-4	7.077506079320754e-4	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_362	2023-02-17T13:59:14Z	2023-02-18T12:59:12Z	47	0.21233858772842307	0.21850917312783	0.9583101851851852	0.0015426463498517326	0.0016097568132948828	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
last_group	2023-02-18T13:59:12Z	2023-02-19T18:29:11Z	58	0.2194843468354759	0.22517760663428876	1.187488425925926	0.0014233149497032138	0.0011985926924663755	2023-02-11T00:59:21Z	2023-02-19T18:29:11Z	4.49377022264445	1.840970384124704	1000 m	4903634	33
group_25	2023-02-21T02:13:52Z	2023-02-21T13:13:52Z	23	0.1581878816031161	0.1610703029616826	0.4583333333333333	7.206053396416265e-4	0.0015722298319453668	2023-02-21T01:43:52Z	2023-03-01T18:43:42Z	4.316558559300422	1.4724896415879059	1000 m	4903634	34
group_204	2023-02-21T14:13:52Z	2023-02-25T06:43:47Z	178	0.1633136231342499	0.18710599293581828	3.6874421296296296	0.005948092450392094	0.0016130673353752473	2023-02-21T01:43:52Z	2023-03-01T18:43:42Z	4.316558559300422	1.4724896415879059	1000 m	4903634	34
group_217	2023-02-25T07:43:47Z	2023-02-25T13:13:47Z	12	0.1880735398060873	0.18968663818662135	0.22916666666666666	4.03274595133514e-4	0.001759743687855334	2023-02-21T01:43:52Z	2023-03-01T18:43:42Z	4.316558559300422	1.4724896415879059	1000 m	4903634	34
group_344	2023-02-25T14:13:47Z	2023-02-28T04:43:43Z	126	0.19646876406961275	0.21201408361109889	2.6041203703703704	0.003886329885371534	0.001492377207133018	2023-02-21T01:43:52Z	2023-03-01T18:43:42Z	4.316558559300422	1.4724896415879059	1000 m	4903634	34
group_378	2023-02-28T05:43:43Z	2023-02-28T21:43:43Z	33	0.2162346919325548	0.22078494837514123	0.6666666666666666	0.0011375641106466106	0.0017063461659699158	2023-02-21T01:43:52Z	2023-03-01T18:43:42Z	4.316558559300422	1.4724896415879059	1000 m	4903634	34
last_group	2023-02-28T22:43:43Z	2023-03-01T18:43:42Z	41	0.22045975834203688	0.22420104412782133	0.8333217592592592	9.353214464461121e-4	0.0011224013246426212	2023-02-21T01:43:52Z	2023-03-01T18:43:42Z	4.316558559300422	1.4724896415879059	1000 m	4903634	34
group_16	2022-05-23T16:35:37Z	2022-05-23T23:05:37Z	14	-0.02551047755349758	5.883650815933822e-4	0.2708333333333333	0.006524710658772741	0.024091239355468582	2022-05-23T16:05:37Z	2022-05-24T15:35:37Z	47.89052663244098	236.14911764855853	200 m	6904240	3
group_23	2022-05-24T00:35:37Z	2022-05-24T02:35:37Z	5	0.6153772366124541	0.6515641029807763	0.08333333333333333	0.009046716592080534	0.1085605991049664	2022-05-23T16:05:37Z	2022-05-24T15:35:37Z	47.89052663244098	236.14911764855853	200 m	6904240	3
group_36	2022-05-24T05:05:37Z	2022-05-24T09:05:37Z	9	1.1091740350473822	1.1220039046266503	0.16666666666666666	0.003207467394817032	0.01924480436890219	2022-05-23T16:05:37Z	2022-05-24T15:35:37Z	47.89052663244098	236.14911764855853	200 m	6904240	3
last_group	2022-05-24T10:05:37Z	2022-05-24T15:35:37Z	12	1.1564194473966498	1.182877072379965	0.22916666666666666	0.006614406245828819	0.02886286361816212	2022-05-23T16:05:37Z	2022-05-24T15:35:37Z	47.89052663244098	236.14911764855853	200 m	6904240	3
group_17	2022-06-03T17:01:03Z	2022-06-04T00:01:03Z	15	0.02360254482013369	0.04139599335256666	0.2916666666666667	0.004448362133108243	0.015251527313513976	2022-06-03T16:31:03Z	2022-06-04T16:01:03Z	32.104480486303764	20.910945053092593	200 m	6904240	5
group_22	2022-06-04T01:31:03Z	2022-06-04T02:31:03Z	3	0.07063021998307294	0.07572328137593727	0.041666666666666664	0.0012732653482160836	0.030558368357186005	2022-06-03T16:31:03Z	2022-06-04T16:01:03Z	32.104480486303764	20.910945053092593	200 m	6904240	5
group_29	2022-06-04T03:31:03Z	2022-06-04T06:01:03Z	6	0.0913424346602888	0.10400258087312708	0.10416666666666667	0.0031650365532095714	0.030384350910811885	2022-06-03T16:31:03Z	2022-06-04T16:01:03Z	32.104480486303764	20.910945053092593	200 m	6904240	5
last_group	2022-06-04T07:01:03Z	2022-06-04T16:01:03Z	19	0.11155745034217934	0.14253033910851362	0.375	0.0077432221915835694	0.02064859251088952	2022-06-03T16:31:03Z	2022-06-04T16:01:03Z	32.104480486303764	20.910945053092593	200 m	6904240	5
group_19	2022-06-14T02:31:01Z	2022-06-14T09:31:01Z	15	-0.00822803698883367	8.825800793353575e-4	0.2916666666666667	0.002277654267042257	0.00780910034414488	2022-06-14T01:01:01Z	2022-06-15T00:31:01Z	16.346852109324487	17.34030984504325	200 m	6904240	6
group_24	2022-06-14T10:31:01Z	2022-06-14T12:01:01Z	4	0.00677142913707504	0.01089878799383841	0.0625	0.0010318397141908422	0.016509435427053475	2022-06-14T01:01:01Z	2022-06-15T00:31:01Z	16.346852109324487	17.34030984504325	200 m	6904240	6
group_29	2022-06-14T13:01:01Z	2022-06-14T14:31:01Z	4	0.02360236970442193	0.02685861410256347	0.0625	8.140610995353856e-4	0.01302497759256617	2022-06-14T01:01:01Z	2022-06-15T00:31:01Z	16.346852109324487	17.34030984504325	200 m	6904240	6
group_40	2022-06-14T15:31:01Z	2022-06-14T20:01:01Z	10	0.03604959023984598	0.03723706241718783	0.1875	2.9686804433546113e-4	0.0015832962364557928	2022-06-14T01:01:01Z	2022-06-15T00:31:01Z	16.346852109324487	17.34030984504325	200 m	6904240	6
last_group	2022-06-14T21:01:01Z	2022-06-15T00:31:01Z	8	0.04377446822567921	0.05136533437295382	0.14583333333333334	0.0018977165368186527	0.013012913395327903	2022-06-14T01:01:01Z	2022-06-15T00:31:01Z	16.346852109324487	17.34030984504325	200 m	6904240	6
group_10	2022-06-23T16:34:36Z	2022-06-23T20:04:36Z	8	0.00117681671928587	0.00205965652423065	0.14583333333333334	2.2070995123619504e-4	0.0015134396656196231	2022-06-23T16:04:36Z	2022-06-24T15:34:36Z	9.045809936369773	13.909273290598858	200 m	6904240	7
group_15	2022-06-23T21:04:36Z	2022-06-23T22:34:36Z	4	0.01266896061455627	0.01296406556138662	0.0625	7.377623670758735e-5	0.0011804197873213976	2022-06-23T16:04:36Z	2022-06-24T15:34:36Z	9.045809936369773	13.909273290598858	200 m	6904240	7
group_34	2022-06-23T23:34:36Z	2022-06-24T08:04:36Z	18	0.01650702416325707	0.02597028452864146	0.3541666666666667	0.0023658150913460976	0.0066799484932125106	2022-06-23T16:04:36Z	2022-06-24T15:34:36Z	9.045809936369773	13.909273290598858	200 m	6904240	7
group_39	2022-06-24T10:04:36Z	2022-06-24T10:34:36Z	2	0.03515921739254101	0.03545598632097062	0.020833333333333332	7.419223210740171e-5	0.003561227141155282	2022-06-23T16:04:36Z	2022-06-24T15:34:36Z	9.045809936369773	13.909273290598858	200 m	6904240	7
last_group	2022-06-24T12:34:36Z	2022-06-24T15:34:36Z	7	0.04288237440344836	0.04377456772679417	0.125	2.2304833083645198e-4	0.0017843866466916158	2022-06-23T16:04:36Z	2022-06-24T15:34:36Z	9.045809936369773	13.909273290598858	200 m	6904240	7
group_11	2022-07-03T16:17:04Z	2022-07-03T20:17:04Z	9	0.01104634043836841	0.01680241241432345	0.16666666666666666	0.0014390179939887601	0.00863410796393256	2022-07-03T15:47:04Z	2022-07-04T15:17:04Z	13.361459461336224	79.14770163004299	200 m	6904240	8
group_21	2022-07-03T23:47:04Z	2022-07-04T01:17:04Z	4	0.03872189854545247	0.04080159555074464	0.0625	5.19924251323042e-4	0.008318788021168672	2022-07-03T15:47:04Z	2022-07-04T15:17:04Z	13.361459461336224	79.14770163004299	200 m	6904240	8
group_24	2022-07-04T02:17:04Z	2022-07-04T02:47:04Z	2	0.04466676105013998	0.04496423622969163	0.020833333333333332	7.436879488791244e-5	0.003569702154619797	2022-07-03T15:47:04Z	2022-07-04T15:17:04Z	13.361459461336224	79.14770163004299	200 m	6904240	8
group_30	2022-07-04T04:17:04Z	2022-07-04T05:47:04Z	4	0.2216491094822415	0.22382614953909172	0.0625	5.442600142125525e-4	0.00870816022740084	2022-07-03T15:47:04Z	2022-07-04T15:17:04Z	13.361459461336224	79.14770163004299	200 m	6904240	8
last_group	2022-07-04T09:17:04Z	2022-07-04T15:17:04Z	13	0.07302614697893574	0.07767268357934434	0.25	0.0011616341501021511	0.0046465366004086045	2022-07-03T15:47:04Z	2022-07-04T15:17:04Z	13.361459461336224	79.14770163004299	200 m	6904240	8
group_15	2022-07-13T17:57:15Z	2022-07-13T23:57:15Z	13	0.03901893192471522	0.04942902070931879	0.25	0.002602522196150892	0.010410088784603568	2022-07-13T17:27:16Z	2022-07-14T16:57:15Z	15.419136671932888	8.961684860902384	200 m	6904240	9
group_42	2022-07-14T00:57:15Z	2022-07-14T13:27:15Z	26	0.05717980566538094	0.07182800409143945	0.5208333333333334	0.003662049606514629	0.007031135244508087	2022-07-13T17:27:16Z	2022-07-14T16:57:15Z	15.419136671932888	8.961684860902384	200 m	6904240	9
