depth	nb_image	juld	cycle	nb_object	conc_object	PhaseName	wmo	date
225	174	26707.25377314815	3	0	0	NPAR	1902593	2023-02-14T06:05:26Z
214.89999389648438	178	26707.255	3	0	0	NPAR	1902593	2023-02-14T06:07:12Z
205	190	26707.25627314815	3	1	0.007518796992481203	NPAR	1902593	2023-02-14T06:09:02Z
195	196	26707.257592592592	3	1	0.00728862973760933	NPAR	1902593	2023-02-14T06:10:56Z
184.89999389648438	210	26707.25894675926	3	0	0	NPAR	1902593	2023-02-14T06:12:53Z
175.1999969482422	188	26707.260266203702	3	0	0	NPAR	1902593	2023-02-14T06:14:47Z
165	172	26707.261458333334	3	0	0	NPAR	1902593	2023-02-14T06:16:30Z
155	164	26707.262569444443	3	0	0	NPAR	1902593	2023-02-14T06:18:06Z
144.89999389648438	174	26707.263680555556	3	0	0	NPAR	1902593	2023-02-14T06:19:42Z
134.8000030517578	180	26707.264849537038	3	0	0	NPAR	1902593	2023-02-14T06:21:23Z
124.80000305175781	196	26707.26607638889	3	0	0	NPAR	1902593	2023-02-14T06:23:09Z
114.9000015258789	212	26707.267395833333	3	0	0	NPAR	1902593	2023-02-14T06:25:03Z
105	210	26707.268761574072	3	0	0	NPAR	1902593	2023-02-14T06:27:01Z
97.80000305175781	82	26707.269699074073	3	0	0	NPAR	1902593	2023-02-14T06:28:22Z
93.4000015258789	96	26707.27028935185	3	1	0.014880952380952384	NPAR	1902593	2023-02-14T06:29:13Z
88.4000015258789	108	26707.270960648148	3	0	0	NPAR	1902593	2023-02-14T06:30:11Z
83.4000015258789	112	26707.271666666667	3	0	0	NPAR	1902593	2023-02-14T06:31:12Z
78.5	104	26707.27236111111	3	0	0	NPAR	1902593	2023-02-14T06:32:12Z
73.4000015258789	90	26707.272997685184	3	0	0	NPAR	1902593	2023-02-14T06:33:07Z
68.5	84	26707.273564814815	3	0	0	NPAR	1902593	2023-02-14T06:33:56Z
63.5	90	26707.27412037037	3	0	0	NPAR	1902593	2023-02-14T06:34:44Z
58.400001525878906	86	26707.274699074074	3	0	0	NPAR	1902593	2023-02-14T06:35:34Z
53.5	82	26707.275231481482	3	0	0	NPAR	1902593	2023-02-14T06:36:20Z
48.5	86	26707.275775462964	3	0	0	NPAR	1902593	2023-02-14T06:37:07Z
43.5	82	26707.276319444445	3	1	0.017421602787456445	NPAR	1902593	2023-02-14T06:37:54Z
38.5	84	26707.276851851853	3	0	0	NPAR	1902593	2023-02-14T06:38:40Z
33.5	80	26707.277372685185	3	1	0.017857142857142856	NPAR	1902593	2023-02-14T06:39:25Z
28.5	84	26707.27789351852	3	0	0	NPAR	1902593	2023-02-14T06:40:10Z
23.5	82	26707.278425925924	3	0	0	NPAR	1902593	2023-02-14T06:40:56Z
18.5	86	26707.27896990741	3	3	0.04983388704318937	NPAR	1902593	2023-02-14T06:41:43Z
13.399999618530273	80	26707.27951388889	3	0	0	NPAR	1902593	2023-02-14T06:42:30Z
8.5	100	26707.280104166668	3	0	0	NPAR	1902593	2023-02-14T06:43:21Z
3.4000000953674316	110	26707.28079861111	3	0	0	NPAR	1902593	2023-02-14T06:44:21Z
0.699999988079071	8	26707.28408564815	3	0	0	NPAR	1902593	2023-02-14T06:49:05Z
176.10000610351562	20	26707.394641203704	4	0	0	PAR	1902593	2023-02-14T09:28:17Z
176.10000610351562	20	26707.40853009259	4	0	0	PAR	1902593	2023-02-14T09:48:17Z
230.10000610351562	20	26707.42241898148	4	0	0	PAR	1902593	2023-02-14T10:08:17Z
230.10000610351562	20	26707.436307870372	4	0	0	PAR	1902593	2023-02-14T10:28:17Z
230.10000610351562	20	26707.45019675926	4	0	0	PAR	1902593	2023-02-14T10:48:17Z
227	20	26707.46408564815	4	0	0	PAR	1902593	2023-02-14T11:08:17Z
227	20	26707.477974537036	4	0	0	PAR	1902593	2023-02-14T11:28:17Z
227	20	26707.491863425927	4	0	0	PAR	1902593	2023-02-14T11:48:17Z
228.6999969482422	20	26707.505752314813	4	0	0	PAR	1902593	2023-02-14T12:08:17Z
228.6999969482422	20	26707.519641203704	4	0	0	PAR	1902593	2023-02-14T12:28:17Z
228.6999969482422	20	26707.53353009259	4	0	0	PAR	1902593	2023-02-14T12:48:17Z
228.5	20	26707.54741898148	4	0	0	PAR	1902593	2023-02-14T13:08:17Z
228.5	20	26707.561307870372	4	0	0	PAR	1902593	2023-02-14T13:28:17Z
228.5	20	26707.57519675926	4	0	0	PAR	1902593	2023-02-14T13:48:17Z
224.3000030517578	20	26707.58908564815	4	0	0	PAR	1902593	2023-02-14T14:08:17Z
224.3000030517578	20	26707.602974537036	4	0	0	PAR	1902593	2023-02-14T14:28:17Z
224.3000030517578	20	26707.616863425927	4	0	0	PAR	1902593	2023-02-14T14:48:17Z
215.6999969482422	20	26707.630752314813	4	0	0	PAR	1902593	2023-02-14T15:08:17Z
215.6999969482422	20	26707.64462962963	4	0	0	PAR	1902593	2023-02-14T15:28:16Z
215.6999969482422	20	26707.65853009259	4	0	0	PAR	1902593	2023-02-14T15:48:17Z
