,precision,recall,f1-score,folder,model_size
living macro avg,0.8365613907457637,0.5422317253302377,0.6422727277609598,0.05_6_0_2500,44.297569441829765
living weighted avg,0.7266570804351516,0.49832355406538137,0.5769337748535276,0.05_6_0_2500,44.297569441829765
accuracy,0.7852643343380634,0.7852643343380634,0.7852643343380634,1_3_75_1000,2.7753448590912004
macro avg,0.3728851094630792,0.7855818657222794,0.4729199312734055,1_3_75_1000,2.7753448590912004
weighted avg,0.8914073309047763,0.7852643343380634,0.8205759471653756,1_3_75_1000,2.7753448590912004
living macro avg,0.2669412105087904,0.7618401194185391,0.3843057969095013,1_3_75_1000,2.7753448590912004
living weighted avg,0.2743228450994535,0.6743503772003353,0.38429826191604805,1_3_75_1000,2.7753448590912004
accuracy,0.9220713245504115,0.9220713245504115,0.9220713245504115,2_4_0_1000,10.00165561630272
macro avg,0.8406237816364097,0.61022642714364,0.6858687718007441,2_4_0_1000,10.00165561630272
weighted avg,0.9141238289203832,0.9220713245504115,0.9151606113350246,2_4_0_1000,10.00165561630272
living macro avg,0.8264007634208493,0.541646127369813,0.6346503606888483,2_4_0_1000,10.00165561630272
living weighted avg,0.7171038145667494,0.49979044425817265,0.5757041998360352,2_4_0_1000,10.00165561630272
accuracy,0.9224438649371761,0.9224438649371761,0.9224438649371761,0.05_7_0_2500,47.234878718035205
macro avg,0.8434277422612949,0.6106022203596643,0.6913145889321483,0.05_7_0_2500,47.234878718035205
weighted avg,0.9144386799951089,0.9224438649371761,0.9152235678160061,0.05_7_0_2500,47.234878718035205
living macro avg,0.8295691717671883,0.5422156791550965,0.6413526938659075,0.05_7_0_2500,47.234878718035205
living weighted avg,0.7238047983225938,0.4941324392288349,0.5732878287094789,0.05_7_0_2500,47.234878718035205
accuracy,0.8846987502963389,0.8846987502963389,0.8846987502963389,1_5_50_1000,5.96034242968704
macro avg,0.5959810941864717,0.728008096142706,0.6466860548090432,1_5_50_1000,5.96034242968704
weighted avg,0.9045201648789958,0.8846987502963389,0.8915337540258242,1_5_50_1000,5.96034242968704
living macro avg,0.5348744135360644,0.6820511224211169,0.5904377637526694,1_5_50_1000,5.96034242968704
living weighted avg,0.4631769922437993,0.6313914501257335,0.5291589937588247,1_5_50_1000,5.96034242968704
accuracy,0.9148914552782199,0.9148914552782199,0.9148914552782199,2_6_25_1000,6.7808838146150405
macro avg,0.7692796697510564,0.6490667968705084,0.685303222582989,2_6_25_1000,6.7808838146150405
weighted avg,0.9123756193024728,0.9148914552782199,0.912837088663661,2_6_25_1000,6.7808838146150405
living macro avg,0.7429468265165153,0.5852603881144712,0.6344228854308009,2_6_25_1000,6.7808838146150405
living weighted avg,0.6159521743879597,0.5685247275775356,0.5840349784947271,2_6_25_1000,6.7808838146150405
accuracy,0.921004504351949,0.921004504351949,0.921004504351949,2_6_0_1000,10.02997592890944
macro avg,0.8431657489811316,0.6145421110056223,0.6926542526592325,2_6_0_1000,10.02997592890944
weighted avg,0.9130630534736989,0.921004504351949,0.9140030123347538,2_6_0_1000,10.02997592890944
living macro avg,0.8303705583964235,0.5479857251039001,0.6440067351546485,2_6_0_1000,10.02997592890944
living weighted avg,0.7189048551716182,0.4966471081307628,0.574216537207595,2_6_0_1000,10.02997592890944
accuracy,0.9205811630033529,0.9205811630033529,0.9205811630033529,1_3_0_1000,12.34982304458496
macro avg,0.8319832637644978,0.6204857619422495,0.6918272296433964,1_3_0_1000,12.34982304458496
weighted avg,0.9116048193149832,0.9205811630033529,0.9123593938503123,1_3_0_1000,12.34982304458496
living macro avg,0.8162635763834998,0.554702142603249,0.6425437940682556,1_3_0_1000,12.34982304458496
living weighted avg,0.7122198723143064,0.47464375523889357,0.5515660951849802,1_3_0_1000,12.34982304458496
accuracy,0.9153655975886477,0.9153655975886477,0.9153655975886477,2_7_25_1000,7.350921658560001
macro avg,0.7717615950251366,0.6540596427831017,0.6927410445273983,2_7_25_1000,7.350921658560001
weighted avg,0.9125257193430536,0.9153655975886477,0.9130570829055759,2_7_25_1000,7.350921658560001
living macro avg,0.7465695269989852,0.591884710751953,0.6441703879040921,2_7_25_1000,7.350921658560001
living weighted avg,0.6282747933564755,0.567476948868399,0.588508050159804,2_7_25_1000,7.350921658560001
accuracy,0.7833000304805771,0.7833000304805771,0.7833000304805771,3_4_75_1000,0.9835281409132801
macro avg,0.36460101512310034,0.7613630819098465,0.462567604267128,3_4_75_1000,0.9835281409132801
weighted avg,0.891543383871035,0.7833000304805771,0.8194459175091723,3_4_75_1000,0.9835281409132801
living macro avg,0.2563634103206623,0.7325314336791423,0.37161815181655056,3_4_75_1000,0.9835281409132801
